n.agwh	43.0842	140.8199	-77
n.mrrh	42.4116	141.0017	-164
n.ccnh	42.9500	140.8223	138
n.kyoh	42.9758	140.6220	-181
n.rnkh	42.8309	140.4831	-93
n.mkrh	42.7630	140.8084	127
n.kmbh	42.7680	140.9766	184
n.kmnh	42.6104	140.4841	38
n.turh	42.6415	140.6650	110
n.ohth	42.6476	141.0643	148
n.smmh	42.7797	140.1557	-69
n.kaih	41.8374	140.6331	-352
n.sruh	41.5977	140.4207	-147
n.khyh	42.4851	139.9679	53
n.kumh	42.1344	140.0040	-32
n.asbh	41.9856	140.3087	-18
n.wnwh	45.2531	141.6334	-131
n.wneh	45.2303	141.8806	-175
n.sfnh	45.3346	142.1185	-82
n.sfsh	45.2163	142.2254	-97
n.hnbh	45.0167	142.0795	-72
n.tsoh	44.8948	141.9251	-99
n.ebth	44.6359	141.8187	-191
n.bfnh	44.5973	142.3036	-52
n.bfwh	44.4732	142.2725	-2
n.bfeh	44.5509	142.5736	170
n.nyrh	44.4376	142.4056	-18
n.swwh	44.2921	142.6303	-142
n.sweh	44.3207	142.7656	98
n.honh	44.2803	142.1594	159
n.hoch	44.1160	142.1414	99
n.hosh	43.9994	142.1258	54
n.oreh	44.0974	141.9621	0
n.orwh	44.0254	141.7876	-86
n.numh	43.8203	141.9397	-6
n.fgnh	43.8243	142.1594	97
n.fgsh	43.6948	142.0776	-68
n.oumh	44.5276	142.8444	3
n.opeh	44.3843	143.2407	-72
n.opwh	44.4234	143.0264	-77
n.tunh	44.1920	143.0767	-68
n.tush	44.1146	143.0111	147
n.stkh	43.8494	143.0861	570
n.ybnh	44.2146	143.6202	-95
n.srmh	44.0813	143.9455	-297
n.rbsh	43.7419	143.4514	214
n.okeh	43.6352	143.5100	190
n.bhrh	43.7228	144.1837	-18
n.mmbh	43.9144	144.1923	-84
n.kmzh	43.8566	144.4574	-96
n.synh	44.0640	144.9935	-42
n.sysh	43.9271	144.8075	-119
n.stnh	43.7851	145.0246	-32
n.stsh	43.6772	144.9618	61
n.nsth	43.5508	144.9665	-199
n.bkwh	43.3900	144.8021	-129
n.bkeh	43.3978	145.1224	-187
n.annh	43.4361	144.0844	323
n.ansh	43.1141	144.1229	-76
n.scnh	43.3848	144.6279	-25
n.scsh	43.2139	144.6804	-213
n.trwh	43.2556	144.2338	-217
n.treh	43.2200	144.4285	-208
n.trsh	43.1358	144.3275	-188
n.snnh	43.1603	143.8936	73
n.snsh	42.9856	143.9841	-74
n.rkbh	43.4683	143.6830	128
n.ayeh	43.3822	143.8983	224
n.aywh	43.2708	143.4317	-2
n.hbth	43.1213	143.6186	-36
n.sksh	43.1739	142.9176	47
n.mmrh	42.8920	143.0603	-131
n.tyrh	42.8114	143.5203	-92
n.tkih	42.4865	143.1520	259
n.frnh	43.3697	142.3409	94
n.smph	43.0406	142.6562	467
n.msah	43.2300	141.8978	-126
n.tobh	43.4087	141.5836	-121
n.ssth	43.2204	141.6523	-119
n.brwh	42.7031	142.2296	-18
n.breh	42.7061	142.4054	120
n.mbeh	42.5934	142.3521	54
n.kymh	43.0587	141.8063	-94
n.sugh	43.5138	141.9090	-93
n.yubh	42.9930	142.0085	-6
n.ncph	42.5977	142.5446	203
n.sznh	42.3498	142.3572	-107
n.soih	42.5629	141.3497	-159
n.ctsh	42.8880	141.6399	-244
n.amah	42.6486	141.8641	-145
n.oiwh	42.8739	141.8191	-42
n.hobh	42.8714	142.1285	71
n.mbwh	42.5126	142.0381	-212
n.beeh	43.5038	142.6006	242
n.bewh	43.5113	142.3906	144
n.nfrh	43.3841	142.5245	238
n.htbh	45.1001	142.4307	-145
n.onph	44.7745	142.2542	-37
n.unsh	44.7433	142.6039	-29
n.unnh	44.8570	142.4868	-82
n.ntbh	44.9387	142.2247	-62
n.nawh	44.6617	142.0528	-41
n.tyth	45.1019	141.7831	-122
n.wnnh	45.4883	141.8850	-159
n.wsmh	43.9754	142.2834	89
n.hnkh	43.2084	145.1168	-226
n.shzh	42.8742	142.8830	318
n.sknh	43.3337	142.9448	264
n.kkah	43.8546	142.7656	191
n.samh	42.1330	142.9164	-63
n.fbrh	43.2341	140.6228	-73
n.tomh	43.0533	140.5014	-76
n.tk2h	34.8806	136.8316	-998
n.ki2h	36.8809	140.6545	293
n.ssah	35.7215	140.5046	-147
n.otnh	36.8089	137.9039	538
n.khth	36.6705	137.4240	238
n.oomh	41.5273	140.9127	-92
n.saih	41.4049	140.8567	-172
n.kuch	41.2340	140.9896	-82
n.fkuh	40.7451	140.0233	-75
n.ajsh	40.7618	140.3121	-112
n.krih	40.6091	140.6646	-5
n.ikih	40.6200	140.3497	-4
n.nyah	40.5488	140.2726	56
n.ownh	40.4841	140.5565	28
n.aomh	40.8524	140.6759	-299
n.hkkh	36.6440	137.8594	698
n.osth	36.6317	137.9656	493
n.omyh	36.4680	137.8691	638
n.chhh	36.4022	138.0208	623
n.iidh	35.4489	138.0058	1063
n.hymh	35.2624	139.6110	0
n.nhjh	40.8564	141.1033	-269
n.rksh	40.9664	141.3738	-97
n.tweh	40.5846	141.1547	-17
n.twwh	40.5800	140.9950	138
n.shgh	40.4624	141.0923	163
n.ttkh	40.2962	141.0145	133
n.nwah	40.4492	141.3374	-51
n.hheh	40.5794	141.4451	-142
n.fsth	40.3188	140.2341	-76
n.msrh	38.6993	141.4176	-12
n.kmsh	35.0882	140.0997	-280
n.ac2h	35.4786	137.7346	703
n.tsrh	40.2755	140.4596	-58
n.odth	40.3002	140.5812	-16
n.kosh	40.4563	140.8395	299
n.kznh	40.0622	140.8084	210
n.anih	39.9819	140.4072	44
n.ogah	39.9554	139.7623	-295
n.gjoh	39.9155	140.2221	-11
n.kwah	39.6884	140.4075	64
n.nsnh	39.8147	140.5790	217
n.nssh	39.6634	140.5721	-6
n.nsbh	39.5450	140.3481	-135
n.nseh	39.5575	140.6116	-83
n.yjmh	39.2223	140.1283	41
n.chkh	39.0718	140.3185	74
n.omrh	39.3548	140.3869	-36
n.yuzh	39.1913	140.4710	-107
n.hnrh	39.1740	140.7129	178
n.ogch	38.9801	140.4952	183
n.krmh	40.2705	141.5709	138
n.nhwh	40.2611	141.1709	124
n.nheh	40.2383	141.3423	28
n.iheh	40.0811	141.1915	328
n.kheh	40.1533	141.4245	264
n.kjnh	40.2686	141.7831	74
n.kjsh	40.0861	141.7120	139
n.asrh	40.1391	140.9529	207
n.kzmh	39.9398	141.5492	469
n.tmyh	39.8250	141.3826	571
n.szkh	39.6436	140.9465	60
n.iwzh	39.8020	141.6520	209
n.troh	39.7435	141.9087	98
n.kanh	39.6442	141.5977	201
n.kash	39.4630	141.6775	451
n.ymdh	39.4734	141.9336	-88
n.yhbh	39.6148	141.0929	71
n.hmnh	39.4559	141.0001	119
n.hmsh	39.3434	141.0473	-52
n.touh	39.3340	141.3015	159
n.kmih	39.2741	141.8233	-61
n.smth	39.1809	141.3909	513
n.kgsh	39.1979	141.0118	48
n.rzth	39.0307	141.5320	-22
n.iceh	38.9690	141.0013	16
n.fswh	38.8654	141.3512	18
n.ywth	38.9701	140.0333	7
n.tckh	38.6357	140.0055	116
n.tzwh	38.7498	140.1780	-137
n.asah	38.4704	139.7606	160
n.fgth	38.7107	140.3744	-99
n.mgmh	38.7132	140.5546	145
n.nkwh	38.3860	139.9916	360
n.nkeh	38.4257	140.1249	203
n.tdoh	38.3841	140.3805	-95
n.ygth	38.2690	140.2577	-21
n.kmyh	38.0813	140.2978	214
n.nyoh	38.1035	140.1553	163
n.thth	37.9633	140.1836	87
n.ynzh	37.8960	140.0278	151
n.onih	37.9881	139.8016	172
n.kkwh	38.9207	141.6377	-38
n.towh	38.7860	141.3254	-66
n.nrkh	38.8587	140.6513	141
n.ondh	38.5793	140.7804	-279
n.tajh	38.5907	141.0710	-81
n.iwnh	38.1133	140.8441	-91
n.kwsh	38.1802	140.6405	43
n.sish	38.0091	140.6027	29
n.ymmh	37.9411	140.8924	-188
n.atkh	37.7317	139.8821	229
n.nazh	37.7565	139.7150	337
